"customer_id","model","fuel_type","vehicle_year","color","purchase_price_inr","city","state","customer_segment"
"BMWC0001","BMW i5","Electric","2023","Silver","12150000","Chennai","Tamil Nadu","Premium"
"BMWC0002","BMW 3 Series","Petrol","2025","Silver","5600000","Pune","Maharashtra","Luxury"
"BMWC0003","BMW i7","Electric","2022","Blue","20650000","Delhi","Delhi","Business"
"BMWC0004","BMW iX1","Electric","2025","Black","6800000","Gurugram","Haryana","Premium"
"BMWC0005","BMW 7 Series","Petrol","2024","Red","19500000","Gurugram","Haryana","Luxury"
"BMWC0006","BMW iX1","Electric","2024","White","6800000","Mumbai","Maharashtra","Business"
"BMWC0007","BMW X1","Petrol","2025","White","5500000","Pune","Maharashtra","Luxury"
"BMWC0008","BMW i7","Electric","2024","Black","21850000","Coimbatore","Tamil Nadu","Luxury"
"BMWC0009","BMW iX","Electric","2024","Red","14600000","Ahmedabad","Gujarat","Executive"
"BMWC0010","BMW iX","Electric","2023","White","14250000","Bengaluru","Karnataka","Executive"
"BMWC0011","BMW i5","Electric","2025","Grey","12100000","Mumbai","Maharashtra","Executive"
"BMWC0012","BMW iX","Electric","2023","White","14900000","Pune","Maharashtra","Business"
"BMWC0013","BMW iX1","Electric","2025","Grey","6850000","Hyderabad","Telangana","Business"
"BMWC0014","BMW 3 Series","Petrol","2023","White","5600000","Pune","Maharashtra","Executive"
"BMWC0015","BMW 3 Series","Petrol","2024","Grey","5900000","Hyderabad","Telangana","Premium"
"BMWC0016","BMW i5","Electric","2024","Black","12350000","Delhi","Delhi","Luxury"
"BMWC0017","BMW iX1","Electric","2023","Black","6800000","Mumbai","Maharashtra","Premium"
"BMWC0018","BMW 3 Series","Petrol","2024","Blue","6350000","Mumbai","Maharashtra","Business"
"BMWC0019","BMW i7","Electric","2023","Black","20650000","Mumbai","Maharashtra","Business"
"BMWC0020","BMW iX1","Electric","2022","Black","7000000","Chennai","Tamil Nadu","Premium"
"BMWC0021","BMW i4","Electric","2025","White","7650000","Gurugram","Haryana","Luxury"
"BMWC0022","BMW i5","Electric","2025","White","12050000","Noida","Uttar Pradesh","Executive"
"BMWC0023","BMW 3 Series","Petrol","2021","Black","6300000","Delhi","Delhi","Premium"
"BMWC0024","BMW 5 Series","Diesel","2026","Red","8050000","Bengaluru","Karnataka","Business"
"BMWC0025","BMW X1","Petrol","2024","Red","5400000","Bengaluru","Karnataka","Business"
"BMWC0026","BMW iX1","Electric","2025","White","6750000","Bengaluru","Karnataka","Executive"
"BMWC0027","BMW iX","Electric","2025","Silver","14350000","Delhi","Delhi","Luxury"
"BMWC0028","BMW iX","Electric","2023","Red","14500000","Gurugram","Haryana","Premium"
"BMWC0029","BMW X7","Petrol","2023","Black","13950000","Pune","Maharashtra","Business"
"BMWC0030","BMW i5","Electric","2023","Grey","12100000","Chennai","Tamil Nadu","Luxury"
"BMWC0031","BMW X1","Petrol","2022","Grey","5800000","Coimbatore","Tamil Nadu","Executive"
"BMWC0032","BMW i4","Electric","2026","Silver","7400000","Kochi","Kerala","Business"
"BMWC0033","BMW i5","Electric","2025","Silver","12450000","Kochi","Kerala","Business"
"BMWC0034","BMW X7","Petrol","2026","White","13500000","Kolkata","West Bengal","Luxury"
"BMWC0035","BMW 5 Series","Petrol","2023","Red","8150000","Chennai","Tamil Nadu","Business"
"BMWC0036","BMW 7 Series","Petrol","2022","Grey","17800000","Kochi","Kerala","Luxury"
"BMWC0037","BMW 3 Series","Diesel","2024","Grey","6400000","Mumbai","Maharashtra","Business"
"BMWC0038","BMW X7","Diesel","2025","White","13850000","Jaipur","Rajasthan","Executive"
"BMWC0039","BMW iX1","Electric","2023","Grey","6850000","Mumbai","Maharashtra","Luxury"
"BMWC0040","BMW X5","Diesel","2025","Blue","9750000","Jaipur","Rajasthan","Luxury"
"BMWC0041","BMW X7","Petrol","2024","Grey","13050000","Hyderabad","Telangana","Premium"
"BMWC0042","BMW X5","Petrol","2024","Grey","10100000","Bengaluru","Karnataka","Business"
"BMWC0043","BMW X1","Diesel","2024","Black","5000000","Hyderabad","Telangana","Premium"
"BMWC0044","BMW i4","Electric","2024","White","7700000","Pune","Maharashtra","Executive"
"BMWC0045","BMW 3 Series","Petrol","2025","Black","6200000","Hyderabad","Telangana","Premium"
"BMWC0046","BMW iX","Electric","2024","Black","14550000","Delhi","Delhi","Business"
"BMWC0047","BMW i7","Electric","2026","Red","21650000","Gurugram","Haryana","Luxury"
"BMWC0048","BMW 3 Series","Diesel","2026","White","6300000","Noida","Uttar Pradesh","Executive"
"BMWC0049","BMW iX","Electric","2025","Grey","14400000","Delhi","Delhi","Business"
"BMWC0050","BMW i5","Electric","2022","Grey","12200000","Noida","Uttar Pradesh","Executive"
"BMWC0051","BMW X3","Diesel","2023","White","7350000","Hyderabad","Telangana","Business"
"BMWC0052","BMW X1","Diesel","2023","Black","5350000","Bengaluru","Karnataka","Executive"
"BMWC0053","BMW i7","Electric","2022","Blue","20000000","Kochi","Kerala","Premium"
"BMWC0054","BMW X5","Diesel","2024","Black","9850000","Bengaluru","Karnataka","Luxury"
"BMWC0055","BMW iX","Electric","2023","White","14900000","Noida","Uttar Pradesh","Premium"
"BMWC0056","BMW 5 Series","Petrol","2022","White","7450000","Mumbai","Maharashtra","Executive"
"BMWC0057","BMW i7","Electric","2023","Grey","20800000","Bengaluru","Karnataka","Luxury"
"BMWC0058","BMW i5","Electric","2022","Grey","12000000","Hyderabad","Telangana","Executive"
"BMWC0059","BMW i7","Electric","2024","Silver","21550000","Hyderabad","Telangana","Premium"
"BMWC0060","BMW 7 Series","Petrol","2026","Blue","18350000","Jaipur","Rajasthan","Business"
"BMWC0061","BMW i5","Electric","2022","Red","12300000","Bengaluru","Karnataka","Business"
"BMWC0062","BMW iX","Electric","2023","Red","14400000","Noida","Uttar Pradesh","Premium"
"BMWC0063","BMW 7 Series","Petrol","2025","Grey","18900000","Ahmedabad","Gujarat","Premium"
"BMWC0064","BMW i5","Electric","2023","Grey","12400000","Coimbatore","Tamil Nadu","Luxury"
"BMWC0065","BMW X7","Diesel","2023","White","14300000","Kolkata","West Bengal","Executive"
"BMWC0066","BMW iX","Electric","2023","White","14000000","Delhi","Delhi","Business"
"BMWC0067","BMW X3","Diesel","2024","Grey","7700000","Kolkata","West Bengal","Business"
"BMWC0068","BMW i7","Electric","2026","Black","20450000","Gurugram","Haryana","Business"
"BMWC0069","BMW 2 Series Gran Coupe","Petrol","2022","Red","4400000","Gurugram","Haryana","Business"
"BMWC0070","BMW X3","Diesel","2021","Grey","7950000","Chandigarh","Chandigarh","Premium"
